transaction_id,amount,location,device_type,time,merchant_category,fraud_flag,ai_fraud_reason
2,6020.24,Kolkata,Mobile,2024-01-01 16:27:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type
12,7007.11,Delhi,Mobile,2024-02-15 17:31:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
35,6741.26,Bangalore,Tablet,2024-06-06 18:28:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
51,6985.61,Mumbai,Tablet,2024-09-13 20:32:00,Utilities,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
70,8668.29,Chennai,Mobile,2024-07-20 02:09:00,Travel,-1,⚠️ High transaction amount; 📱 Less secure device type; 🛒 Sensitive merchant category
140,7135.6,Hyderabad,Mobile,2024-06-14 14:33:00,Grocery,-1,⚠️ High transaction amount; 📱 Less secure device type
141,6564.02,Kolkata,Tablet,2024-09-30 00:25:00,Utilities,-1,⚠️ High transaction amount; 📱 Less secure device type; 🌙 Unusual transaction time
155,8488.07,Chennai,Desktop,2024-04-18 22:56:00,Travel,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
227,7224.62,Kolkata,Mobile,2024-04-25 04:59:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
241,5642.17,Mumbai,Mobile,2024-08-09 08:07:00,Clothing,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
242,6155.12,Bangalore,Tablet,2024-11-23 20:02:00,Clothing,-1,⚠️ High transaction amount; 📱 Less secure device type
248,6801.68,Chennai,Desktop,2024-12-01 16:11:00,Electronics,-1,⚠️ High transaction amount; 🛒 Sensitive merchant category
249,6627.47,Mumbai,Desktop,2024-11-03 12:20:00,Utilities,-1,⚠️ High transaction amount; 📍 High-risk location
262,9221.14,Delhi,Tablet,2024-01-10 14:09:00,Utilities,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
306,7447.11,Mumbai,Tablet,2024-02-29 03:39:00,Grocery,-1,⚠️ High transaction amount; 📍 High-risk location; 📱 Less secure device type
